peA,pxA,pyA,pzA,peB,pxB,pyB,pzB,peX,pxX,pyX,pzX,peY,pxY,pyY,pzY,pe1,px1,py1,pz1,pe2,px2,py2,pz2
561.4929031228454,-513.2587713731901,-30.89877624391022,-225.57699238271871,123.78676082933042,-123.4387160440388,1.5362888811002078,9.147969965561664,649.9606871959348,604.6475242573604,27.228164646438014,200.89460759224704,677.7382937484407,-604.6475242573604,-27.228164646438014,-304.9412947875688,611.826146874869,0.0,0.0,611.8261468701618,715.8728340695066,0.0,0.0,-715.8728340654835
701.2274961454192,-196.17195016567118,505.3819257343752,444.77598458053683,962.9853659367843,-391.49047666526474,681.8298599291386,556.0432211598462,1816.9142878652565,639.64254487271,-1296.3395814049486,-1093.5210944103994,1764.7218647974719,-639.64254487271,1296.3395814049486,1012.227427290979,1750.17124277169,0.0,0.0,1750.1712427700445,1831.4649098910375,0.0,0.0,-1831.464909889465
62.093991908361886,-35.012921495663875,-12.394750566125035,-49.76072063241984,75.94501028077889,59.368719658457216,42.57297390807208,-20.749496506800906,154.16523039524844,-8.586159027533503,-23.187353316722895,86.05401084283871,30.787635255122673,8.586159027533503,23.187353316722895,-18.34401804844958,126.3314292092143,0.0,0.0,126.33142918641714,58.6214364411568,0.0,0.0,-58.621436392028016
57.78201492508008,-32.70887005288409,-29.392822389384968,-37.48270348643221,342.0606655898375,18.555836557777965,7.886717702338989,-341.4659273738557,449.99379626796105,6.505498854833204,16.12637462450472,431.789051743755,85.81608188279407,-6.505498854833204,-16.12637462450472,84.03581635275707,525.8173729822646,0.0,0.0,525.8173729767874,9.99250516849093,0.0,0.0,-9.992504880274913
543.4300217686023,337.13674326351264,298.9076440030089,303.8243328926544,390.7591428146072,241.3622750973601,126.08015669263919,280.2512336126148,921.574426928616,-570.7100260335823,-421.1540683215125,-574.8638893597282,1017.0950790393787,570.7100260335823,421.1540683215125,-728.9730562382581,317.41628018865265,0.0,0.0,317.4162801795794,1621.253225779342,0.0,0.0,-1621.2532257775656
516.3417760317521,-183.04603531556248,-134.24122764679274,-463.769631854825,134.43757985628696,-76.32266247218833,19.322017430642905,-108.97235297625672,649.2149767766782,260.9284398484955,110.50910418564945,570.4681614616702,283.998158940322,-260.9284398484955,-110.50910418564945,18.948389009299206,761.3148430874993,0.0,0.0,761.3148430837164,171.89829262950101,0.0,0.0,-171.89829261274693
443.03801782807136,-8.640951017266232,-97.1246398102511,-432.17452903690736,406.26891854144753,63.08880532261718,-169.08971639649164,-363.98201140270135,917.048634134639,-70.33968356425015,300.46275965418613,854.4017827376525,969.5827432707505,70.33968356425015,-300.46275965418613,919.1654666161833,1830.0993133549275,0.0,0.0,1830.0993133533539,56.53206405046218,0.0,0.0,-56.53206399951764
379.91733390689126,45.69657177097488,-123.07906653217493,356.51163699501996,290.20616154063185,128.11964514823654,-26.69168338362949,259.0222514792606,629.7111144502469,-173.19895140155361,133.61370423115102,-577.0054929870292,232.99274927107734,173.19895140155361,-133.61370423115102,80.21921516798787,182.95879295689366,0.0,0.0,182.9587929411524,679.7450707644308,0.0,0.0,-679.7450707601939
227.52414385359168,-126.57234091035289,-185.7505854200469,35.26185713902684,35.5202248779245,27.322642503912576,-22.332112683464512,-4.054173784479513,266.21104077079644,99.28426058471936,210.42342663421928,-31.347812554140475,322.8148091823932,-99.28426058471936,-210.42342663421928,-223.7722461463079,166.95289563158406,0.0,0.0,166.95289561433367,422.0729543216055,0.0,0.0,-422.072954314782
307.53912811402853,286.4058976426612,61.99916923851232,-93.31709452384779,1238.5426061241594,1212.5515144514407,230.11952587718991,-103.68999853602115,1362.3442198982093,-1319.9703681875994,-257.6843755988606,177.50637500940456,1382.1481648502202,1319.9703681875994,257.6843755988606,-318.76408089995084,1301.61733942905,0.0,0.0,1301.6173394268374,1442.8750453193798,0.0,0.0,-1442.8750453173836
94.6350758042263,-53.27544521621115,-33.691207670417306,70.58630912007624,47.76691379832731,37.59162992430861,29.06014524690434,4.904627578061408,150.65492144258687,18.829023669507343,6.497018107667411,-80.93152647907851,53.18374930401143,-18.829023669507343,-6.497018107667411,-49.312957806581764,36.7970932609819,0.0,0.0,36.79709318271485,167.04157748561633,0.0,0.0,-167.04157746837512
231.97901655876004,101.83404185301261,-185.8304780882403,-94.3987577086922,203.44939146892787,138.76320526435313,-148.66713055387712,5.874695457341118,501.81938778420164,-273.8409849966206,386.49498151127244,108.19053636428964,1241.1041467898378,273.8409849966206,-386.49498151127244,1147.158335791469,1499.1362033599528,0.0,0.0,1499.1362033580315,243.78733121408635,0.0,0.0,-243.78733120227278
1339.208776091974,-1300.6534327890756,-33.00332772867222,-317.31935663395996,226.14609808786324,-202.07306542375662,7.410005861120734,-101.26018824666396,1559.933554009883,1498.0683990684354,25.908555079902236,415.6467988714834,1509.4402743253788,-1498.0683990684354,-25.908555079902236,-183.1113328986538,1650.954647153903,0.0,0.0,1650.9546471521583,1418.4191811813591,0.0,0.0,-1418.4191811793287
